time,close,high,low,open,volumebtc,volume,date
1569229200,9953.94,9964.17,9918.25,9918.25,5.487,54575.64,2019-09-23
1569232800,9915.0,9953.94,9909.71,9953.94,2.375,23578.77,2019-09-23
1569236400,9915.21,9936.47,9915.0,9915.0,5.461,54187.87,2019-09-23
1569240000,9913.34,9919.49,9880.15,9915.21,7.236,71618.38,2019-09-23
1569243600,9899.37,9921.29,9889.34,9913.34,3.209,31763.35,2019-09-23
1569247200,9912.4,9931.97,9665.06,9899.37,99.81,976454.39,2019-09-23
1569250800,9857.03,9935.0,9837.69,9912.4,35.68,352456.49,2019-09-23
1569254400,9795.72,9864.55,9763.78,9857.03,18.73,183667.54,2019-09-23
1569258000,9783.53,9831.81,9777.79,9795.72,13.14,128846.49,2019-09-23
1569261600,9823.67,9832.69,9780.25,9783.53,15.79,154741.65,2019-09-23
1569265200,9788.39,9824.34,9788.39,9823.67,13.71,134571.81,2019-09-23
1569268800,9772.23,9814.95,9755.93,9788.39,18.3,179274.4,2019-09-23
1569272400,9746.86,9800.0,9650.0,9772.23,54.93,533859.73,2019-09-23
1569276000,9717.39,9746.86,9616.39,9746.86,38.77,375012.76,2019-09-23
1569279600,9692.58,9727.78,9674.68,9717.39,10.57,102447.34,2019-09-23
1569283200,9713.26,9733.2,9594.84,9692.58,46.79,452013.08,2019-09-24
1569286800,9730.0,9765.59,9713.26,9713.26,14.11,137511.84,2019-09-24
1569290400,9704.56,9740.92,9700.0,9730.0,7.442,72339.76,2019-09-24
1569294000,9699.65,9726.59,9676.85,9704.56,8.565,83014.89,2019-09-24
1569297600,9726.34,9738.13,9677.6,9699.65,9.355,90944.41,2019-09-24
1569301200,9760.36,9760.38,9715.6,9726.34,5.049,49192.08,2019-09-24
1569304800,9737.71,9779.15,9737.42,9760.36,13.08,127573.8,2019-09-24
1569308400,9745.54,9763.1,9719.49,9737.71,9.183,89457.78,2019-09-24
1569312000,9714.29,9745.55,9686.26,9745.54,13.25,128752.23,2019-09-24
1569315600,9723.74,9727.46,9680.7,9714.29,5.81,56378.78,2019-09-24
1569319200,9726.07,9733.31,9707.39,9723.74,6.372,61948.86,2019-09-24
1569322800,9719.63,9756.73,9700.0,9726.07,18.1,176143.72,2019-09-24
1569326400,9679.13,9719.63,9650.62,9719.63,15.81,153232.81,2019-09-24
1569330000,9618.35,9679.13,9557.78,9679.13,48.69,467642.06,2019-09-24
1569333600,9508.87,9618.35,9494.35,9618.35,102.36,975386.44,2019-09-24
1569337200,9489.05,9544.46,9383.1,9508.87,141.69,1339679.3,2019-09-24
1569340800,9476.21,9566.73,9449.31,9489.05,29.91,284697.08,2019-09-24
1569344400,9463.83,9495.0,9436.74,9476.21,26.61,251799.21,2019-09-24
1569348000,8599.42,9473.92,8559.56,9463.83,568.3,5100514.64,2019-09-24
1569351600,8482.43,8760.0,8101.0,8599.42,572.29,4858773.97,2019-09-24
1569355200,8613.92,8680.0,8203.65,8482.43,291.65,2461922.14,2019-09-24
1569358800,8675.91,8734.6,8550.0,8613.92,108.54,936272.78,2019-09-24
1569362400,8688.58,8766.71,8646.75,8675.91,99.63,866603.85,2019-09-24
1569366000,8542.48,8791.88,8500.0,8688.58,127.45,1103056.96,2019-09-24
1569369600,8715.1,8742.86,8536.35,8542.48,65.0,563336.0,2019-09-25
1569373200,8701.01,8750.85,8670.57,8715.1,39.23,341061.94,2019-09-25
1569376800,8615.08,8734.6,8582.55,8701.01,33.48,290278.72,2019-09-25
1569380400,8584.53,8647.39,8575.0,8615.08,26.01,224120.87,2019-09-25
1569384000,8523.64,8615.42,8435.47,8584.53,78.2,665382.75,2019-09-25
1569387600,8513.17,8531.52,8466.03,8523.64,17.45,148247.14,2019-09-25
1569391200,8465.79,8546.54,8465.79,8513.17,18.57,158013.9,2019-09-25
1569394800,8345.15,8477.57,8321.0,8465.79,53.03,444665.15,2019-09-25
1569398400,8270.0,8386.37,8230.0,8345.15,121.88,1008928.39,2019-09-25
1569402000,8402.26,8407.57,8270.0,8270.0,28.73,239930.45,2019-09-25
1569405600,8412.22,8460.88,8378.13,8402.26,21.48,181027.52,2019-09-25
1569409200,8334.82,8435.11,8300.37,8412.22,25.34,211809.06,2019-09-25
1569412800,8316.58,8353.14,8249.7,8334.82,52.9,438474.79,2019-09-25
1569416400,8397.9,8437.42,8284.21,8316.58,53.17,445995.07,2019-09-25
1569420000,8382.86,8451.34,8372.92,8397.9,54.57,459781.97,2019-09-25
1569423600,8300.0,8429.16,8300.0,8382.86,36.33,303957.93,2019-09-25
1569427200,8351.15,8354.57,8236.62,8300.0,65.19,541323.6,2019-09-25
1569430800,8378.18,8432.92,8338.99,8351.15,32.23,269923.92,2019-09-25
1569434400,8343.49,8398.09,8312.09,8378.18,26.59,222230.21,2019-09-25
1569438000,8356.85,8366.7,8320.72,8343.49,19.84,165681.15,2019-09-25
1569441600,8515.33,8520.69,8349.38,8356.85,73.75,624444.49,2019-09-25
1569445200,8596.79,8596.79,8476.63,8515.33,30.33,258889.42,2019-09-25
1569448800,8441.0,8652.97,8431.97,8596.79,31.91,271681.17,2019-09-25
1569452400,8438.56,8465.0,8320.13,8441.0,48.89,410289.23,2019-09-25
1569456000,8383.48,8454.66,8381.59,8438.56,13.09,110101.3,2019-09-26
1569459600,8345.84,8405.22,8343.61,8383.48,18.43,154314.33,2019-09-26
1569463200,8381.57,8383.26,8332.81,8345.84,11.21,93609.07,2019-09-26
1569466800,8375.79,8390.93,8351.1,8381.57,13.32,111536.86,2019-09-26
1569470400,8371.2,8390.22,8347.52,8375.79,12.57,105336.49,2019-09-26
1569474000,8391.38,8411.05,8370.0,8371.2,10.34,86780.92,2019-09-26
1569477600,8389.19,8430.34,8389.0,8391.38,4.177,35116.03,2019-09-26
1569481200,8372.97,8403.59,8361.46,8389.19,8.405,70417.97,2019-09-26
1569484800,8414.99,8420.05,8366.84,8372.97,12.42,104329.2,2019-09-26
1569488400,8437.84,8455.86,8399.48,8414.99,26.04,219299.42,2019-09-26
1569492000,8439.02,8445.85,8409.73,8437.84,14.91,125631.57,2019-09-26
1569495600,8376.51,8439.02,8376.51,8439.02,15.78,132653.86,2019-09-26
1569499200,8424.91,8435.96,8376.51,8376.51,21.21,178399.5,2019-09-26
1569502800,8263.99,8424.91,8046.97,8424.91,185.0,1515440.25,2019-09-26
1569506400,8186.68,8406.58,8108.42,8263.99,125.57,1038289.21,2019-09-26
1569510000,7913.84,8215.51,7841.77,8186.68,305.43,2444557.62,2019-09-26
1569513600,7946.5,8003.79,7740.0,7913.84,364.25,2868373.12,2019-09-26
1569517200,7916.26,7972.56,7865.0,7946.5,36.61,289602.67,2019-09-26
1569520800,8120.87,8161.89,7904.01,7916.26,85.6,687632.08,2019-09-26
1569524400,8113.58,8124.05,8040.0,8120.87,59.36,480016.44,2019-09-26
1569528000,8092.0,8156.76,8075.1,8113.58,25.51,207152.04,2019-09-26
1569531600,8089.51,8092.0,8022.8,8092.0,33.4,268860.95,2019-09-26
1569535200,8125.44,8128.61,8031.83,8089.51,24.54,198405.04,2019-09-26
1569538800,8056.93,8126.53,8056.93,8125.44,38.91,315132.61,2019-09-26
1569542400,7972.71,8091.49,7966.76,8056.93,22.86,183816.88,2019-09-27
1569546000,8000.0,8009.0,7942.35,7972.71,24.34,194056.77,2019-09-27
1569549600,7996.52,8017.27,7977.11,8000.0,8.311,66409.08,2019-09-27
1569553200,8012.85,8047.81,7996.06,7996.52,4.433,35571.37,2019-09-27
1569556800,8001.44,8037.09,7975.23,8012.85,35.0,279725.02,2019-09-27
1569560400,7980.52,8001.44,7965.04,8001.44,28.51,227546.18,2019-09-27
1569564000,8027.84,8028.8,7980.52,7980.52,13.36,106932.51,2019-09-27
1569567600,8048.17,8080.2,8027.84,8027.84,14.03,113166.17,2019-09-27
1569571200,8069.25,8115.52,8048.17,8048.17,13.01,105279.95,2019-09-27
1569574800,8049.63,8075.03,8012.06,8069.25,21.52,172879.16,2019-09-27
1569578400,8059.94,8079.79,8038.45,8049.63,7.618,61392.15,2019-09-27
1569582000,7974.96,8059.95,7941.73,8059.94,38.75,309554.62,2019-09-27
1569585600,7990.27,8031.27,7949.0,7974.96,16.97,135375.75,2019-09-27
1569589200,7996.22,8038.54,7987.43,7990.27,28.77,230428.9,2019-09-27
1569592800,7952.66,8096.49,7950.0,7996.22,28.87,231483.08,2019-09-27
